Episode 0, Exploration Rate: 1.00, Win :False, Lose :True , Reward: -2405
Episode 1, Exploration Rate: 0.99, Win :False, Lose :True , Reward: -1255
Episode 2, Exploration Rate: 0.99, Win :False, Lose :True , Reward: -3554
Episode 3, Exploration Rate: 0.99, Win :False, Lose :True , Reward: -1289
Episode 4, Exploration Rate: 0.98, Win :False, Lose :True , Reward: -268
Episode 5, Exploration Rate: 0.98, Win :False, Lose :True , Reward: -9714
Episode 6, Exploration Rate: 0.97, Win :False, Lose :True , Reward: -1517
Episode 7, Exploration Rate: 0.97, Win :False, Lose :True , Reward: -453
Episode 8, Exploration Rate: 0.96, Win :False, Lose :True , Reward: -265
Episode 9, Exploration Rate: 0.96, Win :False, Lose :True , Reward: -319
Episode 10, Exploration Rate: 0.95, Win :False, Lose :True , Reward: -1157
Episode 11, Exploration Rate: 0.95, Win :False, Lose :True , Reward: -383
Episode 12, Exploration Rate: 0.94, Win :False, Lose :True , Reward: -528
Episode 13, Exploration Rate: 0.94, Win :False, Lose :True , Reward: -10626
Episode 14, Exploration Rate: 0.93, Win :False, Lose :True , Reward: -4487
Episode 15, Exploration Rate: 0.93, Win :False, Lose :True , Reward: -1761
Episode 16, Exploration Rate: 0.92, Win :False, Lose :True , Reward: -3063
Episode 17, Exploration Rate: 0.92, Win :False, Lose :True , Reward: -2452
Episode 18, Exploration Rate: 0.91, Win :False, Lose :True , Reward: -1036
Episode 19, Exploration Rate: 0.91, Win :False, Lose :True , Reward: -2542
Episode 20, Exploration Rate: 0.90, Win :False, Lose :True , Reward: -2712
Episode 21, Exploration Rate: 0.90, Win :False, Lose :True , Reward: -149
Episode 22, Exploration Rate: 0.90, Win :False, Lose :True , Reward: -12175
Episode 23, Exploration Rate: 0.89, Win :False, Lose :True , Reward: -1571
Episode 24, Exploration Rate: 0.89, Win :False, Lose :True , Reward: -12753
Episode 25, Exploration Rate: 0.88, Win :False, Lose :True , Reward: -1099
Episode 26, Exploration Rate: 0.88, Win :False, Lose :True , Reward: -1831
Episode 27, Exploration Rate: 0.87, Win :False, Lose :True , Reward: -5228
Episode 28, Exploration Rate: 0.87, Win :False, Lose :True , Reward: -3631
Episode 29, Exploration Rate: 0.86, Win :False, Lose :True , Reward: -4063
Episode 30, Exploration Rate: 0.86, Win :False, Lose :True , Reward: -4308
Episode 31, Exploration Rate: 0.86, Win :False, Lose :True , Reward: -3138
Episode 32, Exploration Rate: 0.85, Win :False, Lose :True , Reward: -264
Episode 33, Exploration Rate: 0.85, Win :False, Lose :True , Reward: -2046
Episode 34, Exploration Rate: 0.84, Win :False, Lose :True , Reward: -6586
Episode 35, Exploration Rate: 0.84, Win :False, Lose :True , Reward: -233
Episode 36, Exploration Rate: 0.83, Win :False, Lose :True , Reward: -5914
Episode 37, Exploration Rate: 0.83, Win :False, Lose :True , Reward: -7288
Episode 38, Exploration Rate: 0.83, Win :False, Lose :True , Reward: -730
Episode 39, Exploration Rate: 0.82, Win :False, Lose :True , Reward: -118
Episode 40, Exploration Rate: 0.82, Win :False, Lose :True , Reward: -714
Episode 41, Exploration Rate: 0.81, Win :False, Lose :True , Reward: -7616
Episode 42, Exploration Rate: 0.81, Win :False, Lose :True , Reward: -589
Episode 43, Exploration Rate: 0.81, Win :False, Lose :True , Reward: -12490
Episode 44, Exploration Rate: 0.80, Win :False, Lose :True , Reward: -7
Episode 45, Exploration Rate: 0.80, Win :False, Lose :True , Reward: -1750
Episode 46, Exploration Rate: 0.79, Win :False, Lose :True , Reward: -230
Episode 47, Exploration Rate: 0.79, Win :False, Lose :True , Reward: -1296
Episode 48, Exploration Rate: 0.79, Win :False, Lose :True , Reward: -3438
Episode 49, Exploration Rate: 0.78, Win :False, Lose :True , Reward: -183
Episode 50, Exploration Rate: 0.78, Win :False, Lose :True , Reward: -396
Episode 51, Exploration Rate: 0.77, Win :False, Lose :True , Reward: -166
Episode 52, Exploration Rate: 0.77, Win :False, Lose :True , Reward: -62
Episode 53, Exploration Rate: 0.77, Win :False, Lose :True , Reward: -75
Episode 54, Exploration Rate: 0.76, Win :False, Lose :True , Reward: -117
Episode 55, Exploration Rate: 0.76, Win :False, Lose :True , Reward: -314
Episode 56, Exploration Rate: 0.76, Win :False, Lose :True , Reward: -485
Episode 57, Exploration Rate: 0.75, Win :False, Lose :True , Reward: -2177
Episode 58, Exploration Rate: 0.75, Win :False, Lose :True , Reward: -2881
Episode 59, Exploration Rate: 0.74, Win :False, Lose :True , Reward: -3866
Episode 60, Exploration Rate: 0.74, Win :False, Lose :True , Reward: -7081
Episode 61, Exploration Rate: 0.74, Win :False, Lose :True , Reward: -2390
Episode 62, Exploration Rate: 0.73, Win :False, Lose :True , Reward: -2928
Episode 63, Exploration Rate: 0.73, Win :False, Lose :True , Reward: -87
Episode 64, Exploration Rate: 0.73, Win :False, Lose :True , Reward: -8699
Episode 65, Exploration Rate: 0.72, Win :False, Lose :True , Reward: -7196
Episode 66, Exploration Rate: 0.72, Win :False, Lose :True , Reward: -1270
Episode 67, Exploration Rate: 0.71, Win :False, Lose :True , Reward: -1583
Episode 68, Exploration Rate: 0.71, Win :False, Lose :True , Reward: -7002
Episode 69, Exploration Rate: 0.71, Win :False, Lose :True , Reward: -2843
Episode 70, Exploration Rate: 0.70, Win :False, Lose :True , Reward: -2876
Episode 71, Exploration Rate: 0.70, Win :False, Lose :True , Reward: -296
Episode 72, Exploration Rate: 0.70, Win :False, Lose :True , Reward: -716
