Episode 0, Exploration Rate: 1.00, Win :False, Lose :True , Reward: -4960
Episode 1, Exploration Rate: 0.99, Win :False, Lose :True , Reward: -2296
Episode 2, Exploration Rate: 0.99, Win :False, Lose :True , Reward: -2449
Episode 3, Exploration Rate: 0.99, Win :False, Lose :True , Reward: -3703
Episode 4, Exploration Rate: 0.98, Win :False, Lose :True , Reward: -1119
Episode 5, Exploration Rate: 0.98, Win :False, Lose :True , Reward: -10318
Episode 6, Exploration Rate: 0.97, Win :False, Lose :True , Reward: -5251
Episode 7, Exploration Rate: 0.97, Win :False, Lose :True , Reward: -1986
Episode 8, Exploration Rate: 0.96, Win :False, Lose :True , Reward: -1868
Episode 0, Exploration Rate: 1.00, Win :False, Lose :True , Reward: -6798
Episode 1, Exploration Rate: 0.99, Win :False, Lose :True , Reward: -1347
Episode 2, Exploration Rate: 0.99, Win :False, Lose :True , Reward: -3312
Episode 3, Exploration Rate: 0.99, Win :False, Lose :True , Reward: -2235
Episode 4, Exploration Rate: 0.98, Win :False, Lose :True , Reward: -784
Episode 5, Exploration Rate: 0.98, Win :False, Lose :True , Reward: -150
Episode 6, Exploration Rate: 0.97, Win :False, Lose :True , Reward: -3023
Episode 0, Exploration Rate: 1.00, Win :False, Lose :True , Reward: -2891
Episode 1, Exploration Rate: 0.99, Win :False, Lose :True , Reward: -914
Episode 2, Exploration Rate: 0.99, Win :False, Lose :True , Reward: -751
Episode 3, Exploration Rate: 0.99, Win :False, Lose :True , Reward: -651
Episode 4, Exploration Rate: 0.98, Win :False, Lose :True , Reward: -1007
Episode 5, Exploration Rate: 0.98, Win :False, Lose :True , Reward: -19978
Episode 6, Exploration Rate: 0.97, Win :False, Lose :True , Reward: -178
Episode 7, Exploration Rate: 0.97, Win :False, Lose :True , Reward: -2072
Episode 8, Exploration Rate: 0.96, Win :False, Lose :True , Reward: -3868
Episode 9, Exploration Rate: 0.96, Win :False, Lose :True , Reward: -2411
Episode 10, Exploration Rate: 0.95, Win :False, Lose :True , Reward: -1620
Episode 11, Exploration Rate: 0.95, Win :False, Lose :True , Reward: -3918
Episode 12, Exploration Rate: 0.94, Win :False, Lose :True , Reward: -1392
Episode 13, Exploration Rate: 0.94, Win :False, Lose :True , Reward: -13276
Episode 14, Exploration Rate: 0.93, Win :False, Lose :True , Reward: -1904
Episode 15, Exploration Rate: 0.93, Win :False, Lose :True , Reward: -327
Episode 16, Exploration Rate: 0.92, Win :False, Lose :True , Reward: -8663
Episode 17, Exploration Rate: 0.92, Win :False, Lose :True , Reward: -5555
Episode 18, Exploration Rate: 0.91, Win :False, Lose :True , Reward: -3315
Episode 19, Exploration Rate: 0.91, Win :False, Lose :True , Reward: -13477
Episode 20, Exploration Rate: 0.90, Win :False, Lose :True , Reward: -2490
Episode 21, Exploration Rate: 0.90, Win :False, Lose :True , Reward: -598
Episode 22, Exploration Rate: 0.90, Win :False, Lose :True , Reward: -2293
Episode 23, Exploration Rate: 0.89, Win :False, Lose :True , Reward: -3587
Episode 24, Exploration Rate: 0.89, Win :False, Lose :True , Reward: -2394
Episode 25, Exploration Rate: 0.88, Win :False, Lose :True , Reward: -499
Episode 26, Exploration Rate: 0.88, Win :False, Lose :True , Reward: -863
Episode 27, Exploration Rate: 0.87, Win :False, Lose :True , Reward: -2251
Episode 28, Exploration Rate: 0.87, Win :False, Lose :True , Reward: -1969
Episode 29, Exploration Rate: 0.86, Win :False, Lose :True , Reward: -1886
Episode 30, Exploration Rate: 0.86, Win :False, Lose :True , Reward: -9870
Episode 31, Exploration Rate: 0.86, Win :False, Lose :True , Reward: -2917
Episode 32, Exploration Rate: 0.85, Win :False, Lose :True , Reward: -1163
Episode 33, Exploration Rate: 0.85, Win :False, Lose :True , Reward: -1397
Episode 34, Exploration Rate: 0.84, Win :False, Lose :True , Reward: -330
Episode 35, Exploration Rate: 0.84, Win :False, Lose :True , Reward: -3203
Episode 36, Exploration Rate: 0.83, Win :False, Lose :True , Reward: -8701
Episode 37, Exploration Rate: 0.83, Win :False, Lose :True , Reward: -4209
Episode 38, Exploration Rate: 0.83, Win :False, Lose :True , Reward: -2140
Episode 39, Exploration Rate: 0.82, Win :False, Lose :True , Reward: -507
Episode 40, Exploration Rate: 0.82, Win :False, Lose :True , Reward: -624
Episode 41, Exploration Rate: 0.81, Win :False, Lose :True , Reward: -2510
