Episode 0, Exploration Rate: 1.00, Win :False, Lose :True , Reward: -3991
Episode 1, Exploration Rate: 0.99, Win :False, Lose :True , Reward: -3204
Episode 2, Exploration Rate: 0.99, Win :False, Lose :True , Reward: -601
Episode 3, Exploration Rate: 0.99, Win :False, Lose :True , Reward: -2063
Episode 4, Exploration Rate: 0.98, Win :False, Lose :True , Reward: -2970
Episode 5, Exploration Rate: 0.98, Win :False, Lose :True , Reward: -1827
Episode 6, Exploration Rate: 0.97, Win :False, Lose :True , Reward: -6884
Episode 7, Exploration Rate: 0.97, Win :False, Lose :True , Reward: -2296
Episode 8, Exploration Rate: 0.96, Win :False, Lose :True , Reward: -662
Episode 9, Exploration Rate: 0.96, Win :False, Lose :True , Reward: -799
Episode 10, Exploration Rate: 0.95, Win :False, Lose :True , Reward: -3902
Episode 11, Exploration Rate: 0.95, Win :False, Lose :True , Reward: -861
Episode 12, Exploration Rate: 0.94, Win :False, Lose :True , Reward: -5860
Episode 13, Exploration Rate: 0.94, Win :False, Lose :True , Reward: -721
Episode 14, Exploration Rate: 0.93, Win :False, Lose :True , Reward: -3199
Episode 15, Exploration Rate: 0.93, Win :False, Lose :True , Reward: -1362
Episode 16, Exploration Rate: 0.92, Win :False, Lose :True , Reward: -2648
Episode 17, Exploration Rate: 0.92, Win :False, Lose :True , Reward: -386
Episode 18, Exploration Rate: 0.91, Win :False, Lose :True , Reward: -5552
Episode 19, Exploration Rate: 0.91, Win :False, Lose :True , Reward: -5573
Episode 20, Exploration Rate: 0.90, Win :False, Lose :True , Reward: -5328
Episode 21, Exploration Rate: 0.90, Win :False, Lose :True , Reward: -395
Episode 22, Exploration Rate: 0.90, Win :False, Lose :True , Reward: -4559
Episode 23, Exploration Rate: 0.89, Win :False, Lose :True , Reward: -173
Episode 24, Exploration Rate: 0.89, Win :False, Lose :True , Reward: -477
Episode 25, Exploration Rate: 0.88, Win :False, Lose :True , Reward: -456
Episode 26, Exploration Rate: 0.88, Win :False, Lose :True , Reward: -1954
Episode 27, Exploration Rate: 0.87, Win :False, Lose :True , Reward: -4415
Episode 28, Exploration Rate: 0.87, Win :False, Lose :True , Reward: -186
Episode 29, Exploration Rate: 0.86, Win :False, Lose :True , Reward: -1198
Episode 30, Exploration Rate: 0.86, Win :False, Lose :True , Reward: -71
Episode 31, Exploration Rate: 0.86, Win :False, Lose :True , Reward: -1552
Episode 32, Exploration Rate: 0.85, Win :False, Lose :True , Reward: -376
Episode 33, Exploration Rate: 0.85, Win :False, Lose :True , Reward: -2378
Episode 34, Exploration Rate: 0.84, Win :False, Lose :True , Reward: -6650
Episode 35, Exploration Rate: 0.84, Win :False, Lose :True , Reward: -541
Episode 36, Exploration Rate: 0.83, Win :False, Lose :True , Reward: -1085
Episode 37, Exploration Rate: 0.83, Win :False, Lose :True , Reward: -2051
Episode 38, Exploration Rate: 0.83, Win :False, Lose :True , Reward: -2507
Episode 39, Exploration Rate: 0.82, Win :False, Lose :True , Reward: -3759
Episode 40, Exploration Rate: 0.82, Win :False, Lose :True , Reward: -5395
Episode 41, Exploration Rate: 0.81, Win :False, Lose :True , Reward: -155
Episode 42, Exploration Rate: 0.81, Win :False, Lose :True , Reward: -2171
Episode 43, Exploration Rate: 0.81, Win :False, Lose :True , Reward: -1677
Episode 44, Exploration Rate: 0.80, Win :False, Lose :True , Reward: -3033
Episode 45, Exploration Rate: 0.80, Win :False, Lose :True , Reward: -497
Episode 46, Exploration Rate: 0.79, Win :False, Lose :True , Reward: -302
Episode 47, Exploration Rate: 0.79, Win :False, Lose :True , Reward: -904
Episode 48, Exploration Rate: 0.79, Win :False, Lose :True , Reward: -4280
Episode 49, Exploration Rate: 0.78, Win :False, Lose :True , Reward: -2535
Episode 50, Exploration Rate: 0.78, Win :False, Lose :True , Reward: -506
Episode 51, Exploration Rate: 0.77, Win :False, Lose :True , Reward: -7502
Episode 52, Exploration Rate: 0.77, Win :False, Lose :True , Reward: -1189
Episode 53, Exploration Rate: 0.77, Win :False, Lose :True , Reward: -2474
Episode 54, Exploration Rate: 0.76, Win :False, Lose :True , Reward: -286
Episode 55, Exploration Rate: 0.76, Win :False, Lose :True , Reward: -3755
Episode 56, Exploration Rate: 0.76, Win :False, Lose :True , Reward: -5582
Episode 57, Exploration Rate: 0.75, Win :False, Lose :True , Reward: -438
Episode 58, Exploration Rate: 0.75, Win :False, Lose :True , Reward: -1936
Episode 59, Exploration Rate: 0.74, Win :False, Lose :True , Reward: -657
Episode 60, Exploration Rate: 0.74, Win :False, Lose :True , Reward: -1788
Episode 61, Exploration Rate: 0.74, Win :False, Lose :True , Reward: -303
Episode 62, Exploration Rate: 0.73, Win :False, Lose :True , Reward: -206
Episode 63, Exploration Rate: 0.73, Win :False, Lose :True , Reward: -6659
Episode 64, Exploration Rate: 0.73, Win :False, Lose :True , Reward: -8106
Episode 65, Exploration Rate: 0.72, Win :False, Lose :True , Reward: -386
Episode 66, Exploration Rate: 0.72, Win :False, Lose :True , Reward: -187
Episode 67, Exploration Rate: 0.71, Win :False, Lose :True , Reward: -2792
Episode 68, Exploration Rate: 0.71, Win :False, Lose :True , Reward: -4591
Episode 69, Exploration Rate: 0.71, Win :False, Lose :True , Reward: -647
Episode 70, Exploration Rate: 0.70, Win :False, Lose :True , Reward: -155
Episode 71, Exploration Rate: 0.70, Win :False, Lose :True , Reward: -176
Episode 72, Exploration Rate: 0.70, Win :False, Lose :True , Reward: -522
Episode 73, Exploration Rate: 0.69, Win :False, Lose :True , Reward: -629
Episode 74, Exploration Rate: 0.69, Win :False, Lose :True , Reward: -1872
Episode 75, Exploration Rate: 0.69, Win :False, Lose :True , Reward: -339
Episode 76, Exploration Rate: 0.68, Win :False, Lose :True , Reward: -931
Episode 77, Exploration Rate: 0.68, Win :False, Lose :True , Reward: -3298
Episode 78, Exploration Rate: 0.68, Win :False, Lose :True , Reward: -830
Episode 79, Exploration Rate: 0.67, Win :False, Lose :True , Reward: -152
Episode 80, Exploration Rate: 0.67, Win :False, Lose :True , Reward: -3414
Episode 81, Exploration Rate: 0.67, Win :False, Lose :True , Reward: -3770
Episode 82, Exploration Rate: 0.66, Win :False, Lose :True , Reward: -1596
Episode 83, Exploration Rate: 0.66, Win :False, Lose :True , Reward: -5710
Episode 84, Exploration Rate: 0.66, Win :False, Lose :True , Reward: -3437
Episode 85, Exploration Rate: 0.65, Win :False, Lose :True , Reward: -2611
Episode 86, Exploration Rate: 0.65, Win :False, Lose :True , Reward: -195
Episode 87, Exploration Rate: 0.65, Win :False, Lose :True , Reward: -754
Episode 88, Exploration Rate: 0.64, Win :False, Lose :True , Reward: -2055
Episode 89, Exploration Rate: 0.64, Win :False, Lose :True , Reward: -1109
Episode 90, Exploration Rate: 0.64, Win :False, Lose :True , Reward: -3809
Episode 91, Exploration Rate: 0.63, Win :False, Lose :True , Reward: -2522
Episode 92, Exploration Rate: 0.63, Win :False, Lose :True , Reward: -4077
Episode 93, Exploration Rate: 0.63, Win :False, Lose :True , Reward: -1017
Episode 94, Exploration Rate: 0.62, Win :False, Lose :True , Reward: -3801
Episode 95, Exploration Rate: 0.62, Win :False, Lose :True , Reward: -2917
Episode 96, Exploration Rate: 0.62, Win :False, Lose :True , Reward: -6316
Episode 97, Exploration Rate: 0.61, Win :False, Lose :True , Reward: -4597
Episode 98, Exploration Rate: 0.61, Win :False, Lose :True , Reward: -4467
Episode 99, Exploration Rate: 0.61, Win :False, Lose :True , Reward: -269
Episode 100, Exploration Rate: 0.61, Win :False, Lose :True , Reward: -284
Episode 101, Exploration Rate: 0.60, Win :False, Lose :True , Reward: -3295
Episode 102, Exploration Rate: 0.60, Win :False, Lose :True , Reward: -2020
Episode 103, Exploration Rate: 0.60, Win :False, Lose :True , Reward: -1661
Episode 104, Exploration Rate: 0.59, Win :False, Lose :True , Reward: -2269
Episode 105, Exploration Rate: 0.59, Win :False, Lose :True , Reward: -1948
Episode 106, Exploration Rate: 0.59, Win :False, Lose :True , Reward: -6265
Episode 107, Exploration Rate: 0.58, Win :False, Lose :True , Reward: -7581
Episode 108, Exploration Rate: 0.58, Win :False, Lose :True , Reward: -3903
Episode 109, Exploration Rate: 0.58, Win :False, Lose :True , Reward: -2840
Episode 110, Exploration Rate: 0.58, Win :False, Lose :True , Reward: -9963
Episode 111, Exploration Rate: 0.57, Win :False, Lose :True , Reward: -8046
Episode 112, Exploration Rate: 0.57, Win :False, Lose :True , Reward: -8289
Episode 113, Exploration Rate: 0.57, Win :False, Lose :True , Reward: -2000
Episode 114, Exploration Rate: 0.56, Win :False, Lose :True , Reward: -5161
Episode 115, Exploration Rate: 0.56, Win :False, Lose :True , Reward: -5321
Episode 116, Exploration Rate: 0.56, Win :False, Lose :True , Reward: -5144
Episode 117, Exploration Rate: 0.56, Win :False, Lose :True , Reward: -484
Episode 118, Exploration Rate: 0.55, Win :False, Lose :True , Reward: -2461
Episode 119, Exploration Rate: 0.55, Win :False, Lose :True , Reward: -889
Episode 120, Exploration Rate: 0.55, Win :False, Lose :True , Reward: -2358
Episode 121, Exploration Rate: 0.55, Win :False, Lose :True , Reward: -4723
Episode 122, Exploration Rate: 0.54, Win :False, Lose :True , Reward: -1876
Episode 123, Exploration Rate: 0.54, Win :False, Lose :True , Reward: -226
Episode 124, Exploration Rate: 0.54, Win :False, Lose :True , Reward: -2587
Episode 125, Exploration Rate: 0.53, Win :False, Lose :True , Reward: -2473
Episode 126, Exploration Rate: 0.53, Win :False, Lose :True , Reward: -2476
Episode 127, Exploration Rate: 0.53, Win :False, Lose :True , Reward: -4461
Episode 128, Exploration Rate: 0.53, Win :False, Lose :True , Reward: -4098
Episode 129, Exploration Rate: 0.52, Win :False, Lose :True , Reward: -3134
Episode 130, Exploration Rate: 0.52, Win :False, Lose :True , Reward: -4068
Episode 131, Exploration Rate: 0.52, Win :False, Lose :True , Reward: -4469
Episode 132, Exploration Rate: 0.52, Win :False, Lose :True , Reward: -228
Episode 133, Exploration Rate: 0.51, Win :False, Lose :True , Reward: -3024
Episode 134, Exploration Rate: 0.51, Win :False, Lose :True , Reward: -2311
Episode 135, Exploration Rate: 0.51, Win :False, Lose :True , Reward: -1556
Episode 136, Exploration Rate: 0.51, Win :False, Lose :True , Reward: -7524
Episode 137, Exploration Rate: 0.50, Win :False, Lose :True , Reward: -4813
Episode 138, Exploration Rate: 0.50, Win :False, Lose :True , Reward: -1672
Episode 139, Exploration Rate: 0.50, Win :False, Lose :True , Reward: -5200
Episode 140, Exploration Rate: 0.50, Win :False, Lose :True , Reward: -2004
Episode 141, Exploration Rate: 0.49, Win :False, Lose :True , Reward: -3316
Episode 142, Exploration Rate: 0.49, Win :False, Lose :True , Reward: -1912
Episode 143, Exploration Rate: 0.49, Win :False, Lose :True , Reward: -2257
Episode 144, Exploration Rate: 0.49, Win :False, Lose :True , Reward: -7429
Episode 145, Exploration Rate: 0.48, Win :False, Lose :True , Reward: -3141
Episode 146, Exploration Rate: 0.48, Win :False, Lose :True , Reward: -2171
Episode 147, Exploration Rate: 0.48, Win :False, Lose :True , Reward: -3007
Episode 148, Exploration Rate: 0.48, Win :False, Lose :True , Reward: -1003
Episode 149, Exploration Rate: 0.47, Win :False, Lose :True , Reward: -3109
Episode 150, Exploration Rate: 0.47, Win :False, Lose :True , Reward: -7641
Episode 151, Exploration Rate: 0.47, Win :False, Lose :True , Reward: -1923
Episode 152, Exploration Rate: 0.47, Win :False, Lose :True , Reward: -3721
Episode 153, Exploration Rate: 0.46, Win :False, Lose :True , Reward: -5572
Episode 154, Exploration Rate: 0.46, Win :False, Lose :True , Reward: -981
Episode 155, Exploration Rate: 0.46, Win :False, Lose :True , Reward: -3248
Episode 156, Exploration Rate: 0.46, Win :False, Lose :True , Reward: -4188
Episode 157, Exploration Rate: 0.46, Win :False, Lose :True , Reward: -3314
Episode 158, Exploration Rate: 0.45, Win :False, Lose :True , Reward: -2020
Episode 159, Exploration Rate: 0.45, Win :False, Lose :True , Reward: -608
Episode 160, Exploration Rate: 0.45, Win :False, Lose :True , Reward: -4851
Episode 161, Exploration Rate: 0.45, Win :False, Lose :True , Reward: -1813
