Episode 0, Exploration Rate: 1.00, Win :False, Lose :True , Reward: -1779
Episode 1, Exploration Rate: 0.99, Win :False, Lose :True , Reward: -106
Episode 2, Exploration Rate: 0.99, Win :False, Lose :True , Reward: -917
Episode 3, Exploration Rate: 0.99, Win :False, Lose :True , Reward: -2480
Episode 4, Exploration Rate: 0.98, Win :False, Lose :True , Reward: -1075
Episode 5, Exploration Rate: 0.98, Win :False, Lose :True , Reward: -1275
Episode 6, Exploration Rate: 0.97, Win :False, Lose :True , Reward: -2687
Episode 7, Exploration Rate: 0.97, Win :False, Lose :True , Reward: -570
Episode 8, Exploration Rate: 0.96, Win :False, Lose :True , Reward: -841
Episode 9, Exploration Rate: 0.96, Win :False, Lose :True , Reward: -4003
Episode 10, Exploration Rate: 0.95, Win :False, Lose :True , Reward: -5003
Episode 11, Exploration Rate: 0.95, Win :False, Lose :True , Reward: -725
Episode 12, Exploration Rate: 0.94, Win :False, Lose :True , Reward: -111
Episode 13, Exploration Rate: 0.94, Win :False, Lose :True , Reward: -4406
Episode 14, Exploration Rate: 0.93, Win :False, Lose :True , Reward: -2594
Episode 15, Exploration Rate: 0.93, Win :False, Lose :True , Reward: -2869
Episode 16, Exploration Rate: 0.92, Win :False, Lose :True , Reward: -2977
Episode 17, Exploration Rate: 0.92, Win :False, Lose :True , Reward: -3631
Episode 18, Exploration Rate: 0.91, Win :False, Lose :True , Reward: -5690
Episode 19, Exploration Rate: 0.91, Win :False, Lose :True , Reward: -162
Episode 20, Exploration Rate: 0.90, Win :False, Lose :True , Reward: -8160
Episode 21, Exploration Rate: 0.90, Win :False, Lose :True , Reward: -1696
Episode 22, Exploration Rate: 0.90, Win :False, Lose :True , Reward: -2207
Episode 23, Exploration Rate: 0.89, Win :False, Lose :True , Reward: -3454
Episode 24, Exploration Rate: 0.89, Win :False, Lose :True , Reward: -9256
Episode 25, Exploration Rate: 0.88, Win :False, Lose :True , Reward: -6460
Episode 26, Exploration Rate: 0.88, Win :False, Lose :True , Reward: -10294
Episode 27, Exploration Rate: 0.87, Win :False, Lose :True , Reward: -1705
Episode 28, Exploration Rate: 0.87, Win :False, Lose :True , Reward: -2347
Episode 29, Exploration Rate: 0.86, Win :False, Lose :True , Reward: -238
Episode 30, Exploration Rate: 0.86, Win :False, Lose :True , Reward: -4564
Episode 31, Exploration Rate: 0.86, Win :False, Lose :True , Reward: -2003
Episode 32, Exploration Rate: 0.85, Win :False, Lose :True , Reward: -1155
Episode 33, Exploration Rate: 0.85, Win :False, Lose :True , Reward: -3967
Episode 34, Exploration Rate: 0.84, Win :False, Lose :True , Reward: -3630
Episode 35, Exploration Rate: 0.84, Win :False, Lose :True , Reward: -13246
